stock_code,n_rows,n_decimal,n_percent,n_other,pct_ratio,first_pct_date,last_pct_date,is_segmented
600677,5702,706,4028,23,0.8509,1996-01-03,2016-09-30,1
000018,5589,581,3942,10,0.8715,1996-01-03,2016-09-30,1
600652,6184,1068,3915,22,0.7857,1996-01-03,2016-09-29,1
600695,6054,1074,3912,11,0.7846,1996-01-04,2016-09-27,1
600896,6087,997,3904,21,0.7966,1996-05-07,2016-09-29,1
600891,5515,651,3875,19,0.8562,1996-03-26,2016-09-30,1
600723,5994,798,3860,24,0.8287,1996-07-17,2016-09-30,1
000585,5963,996,3822,10,0.7933,1996-01-03,2016-09-30,1
600701,5454,600,3818,16,0.8642,1996-05-29,2016-09-30,1
000502,5967,1051,3793,4,0.783,1996-01-04,2020-04-10,1
600614,5498,696,3766,18,0.844,1996-01-03,2016-04-25,1
000611,5694,907,3754,16,0.8054,1996-10-09,2016-08-04,1
600856,5957,1027,3753,19,0.7851,1996-01-03,2016-09-29,1
000687,5857,1131,3732,15,0.7674,1997-02-24,2016-09-28,1
000780,5795,934,3711,19,0.7989,1997-06-09,2016-09-29,1
600069,5421,640,3710,18,0.8529,1997-05-06,2016-09-30,1
600747,5291,508,3704,18,0.8794,1996-09-17,2016-09-30,1
200018,5509,543,3688,10,0.8717,1996-01-04,2016-09-30,1
000662,5430,782,3681,17,0.8248,1996-12-17,2016-09-30,1
600093,5864,1066,3678,19,0.7753,1997-06-27,2016-09-29,1
600687,5377,709,3667,12,0.838,1996-01-03,2016-07-22,1
600086,5341,651,3632,14,0.848,1997-06-09,2016-09-30,1
000673,5646,1000,3587,10,0.782,1997-01-27,2016-09-30,1
000613,5489,1032,3572,12,0.7758,1997-01-29,2016-09-30,1
900933,6122,875,3551,35,0.8023,1996-01-10,2016-09-30,1
600068,5764,840,3529,37,0.8077,1997-05-27,2016-09-30,1
900919,6011,915,3527,15,0.794,1996-01-04,2016-09-29,1
200613,5620,877,3522,5,0.8006,1996-10-09,2016-09-30,1
600091,5760,1025,3512,14,0.7741,1997-07-07,2016-09-30,1
600870,5528,912,3506,11,0.7936,1996-01-04,2016-09-30,1
000760,5147,735,3491,13,0.8261,1997-07-02,2016-09-28,1
600634,5010,711,3416,11,0.8277,1996-01-03,2016-09-30,1
600890,5565,835,3382,16,0.802,1996-03-19,2016-08-17,1
900951,5391,647,3361,7,0.8386,1997-10-22,2016-09-30,1
600074,4719,432,3330,16,0.8852,1997-06-24,2016-09-29,1
600175,4894,617,3309,22,0.8428,1999-04-09,2016-09-28,1
600209,5121,1000,3263,10,0.7654,1999-03-26,2016-02-23,1
000835,5148,1077,3155,16,0.7455,1999-06-28,2016-09-30,1
900907,5184,669,3127,20,0.8238,1996-01-04,2016-04-25,1
600090,5655,998,3114,13,0.7573,1997-06-17,2016-09-30,1
000939,4379,394,3072,23,0.8863,1999-09-24,2016-09-28,1
600240,4573,600,3053,18,0.8358,2000-06-29,2016-09-26,1
900956,5052,597,3046,15,0.8361,1999-07-16,2016-09-29,1
600146,4630,935,2977,7,0.761,1999-07-08,2016-09-30,1
600291,4998,1153,2940,13,0.7183,2000-08-01,2016-09-29,1
600145,4047,386,2899,19,0.8825,1999-09-24,2015-12-04,1
600247,4629,844,2896,15,0.7743,2000-11-24,2016-09-27,1
600555,4920,1105,2896,14,0.7238,2001-03-30,2016-09-30,1
900955,5360,979,2862,13,0.7451,1999-01-19,2016-09-30,1
600275,4852,1094,2801,14,0.7191,2000-08-14,2016-09-30,1
600317,4462,659,2618,24,0.7989,2002-02-01,2016-09-30,1
600385,4402,1021,2604,8,0.7183,2001-07-24,2016-09-30,1
200986,4387,592,2549,16,0.8115,2000-07-07,2015-06-19,1
600485,3254,215,2549,16,0.9222,2003-08-08,2016-09-30,1
200160,3904,498,2524,10,0.8352,2000-10-09,2015-01-20,1
200168,4196,617,2518,12,0.8032,2000-10-30,2015-04-02,1
002018,3330,544,2141,18,0.7974,2004-07-14,2016-09-30,1
600978,3707,761,2126,17,0.7364,2004-08-25,2016-09-30,1
002143,2577,429,1716,8,0.8,2007-07-23,2016-09-27,1
002147,3237,928,1666,16,0.6423,2007-08-09,2016-09-29,1
